query_id	page_id	page_title	score	daily_pvs
121	8192	Detective fiction	0.5	448
101	4161536	National Register of Historic Places listings in Sanilac County, Michigan	1.5	5
89	24578	Pub	0	887
71	19115	Malaysian Armed Forces	0	277
21	2449412	Ken Anderson (wrestler)	0	740
82	25165829	2010 Djurgårdens IF season	1	3
9	47489030	It Was Written	2.5	408
121	9707527	List of In Living Color episodes	0	129
78	32751625	Russian Navy Ensign	2	45
53	42748567	LGBT rights in the United States Virgin Islands	1	13
114	42082319	Winter flooding of 2013–14 on the Somerset Levels	0	42
66	21594133	Ljajić	3	3
87	21331990	The Golden Pine Cone	0	3
133	185689	Sunday roast	0	495
98	622616	Brian Henson	0	385
101	5799962	WMIC	0.5	14
32	36339741	Tainted Obligation	2.5	19
87	4612127	Unicorn fish	1	25
34	26279968	Obliterating endarteritis	3	40
16	22317744	Southern Bantu languages	2	35
59	966691	JFK/UMass (MBTA station)	1	28
113	16973860	Bent (film)	0	177
37	1212422	Esperanza	0	86
58	10929	Fighter aircraft	0	1286
21	3915816	Women of Wrestling	0.5	136
13	516138	Singularitarianism	0	125
51	7921709	List of apex predators	0.5	471
129	38322223	Arthur Newman (film)	0	66
21	6897713	Jorge Rivera (fighter)	1	70
90	29571536	Jagannath Temple, Nayagarh	0.5	9
24	36888630	Bastille (band)	1	1236
31	422269	Contact (1997 American film)	0	1699
38	1851448	Egyptian cuisine	2.6667	8
49	13262906	Grand Slam (G.I. Joe)	0	23
75	286779	Mack Trucks	0.25	664
111	5652540	Twenty Years (song)	0.5	21
11	26443837	Annihilation Earth	1	25
124	6946878	Sky Broadband	0.6667	66
86	188479	List of file formats	0.5	739
3	311366	American wire gauge	1.5	2782
102	33047905	Saving Private Perez	0	23
86	40910920	NA	0	1
130	5096985	Wii Remote	2.5	361
38	1914210	Kushari	2.6667	200
35	23568464	Hairshirt environmentalism	2	3
44	761937	Gustav Noske	1	57
95	33251410	Saheb, Biwi Aur Gangster	1.5	242
42	22995027	Fort Worth (film)	3	8
95	48300118	Randeep Sarai	1.5	12
9	2083513	The Gangstas	0.5	49
107	41049	Direct-sequence spread spectrum	1	234
11	25665627	Annihilationism	1	174
131	40861788	Birmingham Union Workhouse	0.5	8
59	10911837	JFK (soundtrack)	1	10
44	1007711	May Uprising in Dresden	1	34
112	1081440	Family Channel	2	277
53	23519329	Frances Negrón-Muntaner	0	9
112	5587043	The Royal Family (TV series)	2	121
82	20389989	NA	1	4
71	42299409	Malaysia Airlines Flight 370	3	11
82	42877032	Irony (ClariS song)	0	20
79	11149417	Winston Heights-Mountview, Calgary	0	5
8	18702442	NA	0	5
118	2826347	Aoi no Ue	2	18
64	25645	Rwanda	0	2781
61	1646705	Kurmanbek Bakiyev	1	63
115	1974387	First They Killed My Father	1.5	332
7	442485	Church of God (Seventh-Day)	0.5	66
46	27546128	Jordan Crawford	0	251
101	1310839	NA	1	2
87	5158867	Fishing Cone	0	14
63	5503680	NA	0	2
123	10936450	Film adaptations of Uncle Tom's Cabin	2	30
13	581763	Singularity theory	0	86
88	38513345	Polypodium cambricum	2	6
57	811144	Golden handshake	0.5	132
73	37118090	NA	0	3
127	36335639	Marion, Wetzel County, West Virginia	1.5	2
40	27678061	Pathways Schools	0.5	44
78	5701777	Naval Ensign	2.75	45
98	4120722	Chequamegon Point Light	0	4
95	47056238	Do Lafzon Ki Kahani (film)	1.5	464
77	2682821	Xploder	1	21
14	47898780	RAF Bomber Command aircrew of World War II	0	75
17	33071130	Techofes	0	15
31	1802400	Phantasm (film)	0	591
122	7422113	Discretionary trust	3	81
132	11518114	Glynn Griffing	0.5	5
8	5496996	Adam Rapp	3	48
15	19169445	United States missile defense complex in Poland	1.5	39
70	1024166	Helen Wellington-Lloyd	1	12
44	540839	Forty-Eighters	0.5	95
100	6815913	Peter McKenzie (actor)	0	42
73	319659	Fergie (singer)	0	6126
114	123052	Weston, Missouri	0.3333	65
77	655533	Turok: Dinosaur Hunter	1	229
104	31416494	Marines' Hymn	1	639
9	4988957	The Realness	1	30
89	1532080	Recycling symbol	0.5	352
9	47787684	Street Dreams (song)	2	46
96	21414068	Shūdō Higashinakano	1.5	10
47	40624310	Gotham (TV series)	3	5557
30	401269	G N' R Lies	0.5	546
121	3506360	List of female detective characters	0.5	256
118	22619508	Genji Monogatari Emaki	3	28
89	5431482	Signing agent	0	18
58	17416380	Oldsmobile Jetstar I	1	44
11	42008766	Annihilation (VanderMeer novel)	2	343
86	152949	Data link layer	0	741
23	8937664	Security controls	1.5	165
49	1545592	Kelly Scott	0	13
76	1102307	Zopiclone	0.5	1422
51	4022467	Gumboot chiton	3	398
30	1974468	Don't Cry	3	213
73	8389	Major depressive disorder	0	3627
96	65735	The Rape of Nanking (book)	2.5	231
43	286921	Frankfurt School	1.5	15
74	49116954	2016 German Darts Masters	0.5	4
118	20616567	List of The Tale of Genji characters	2.5	56
130	11985100	WiiWare	3	89
130	32013005	New Super Mario Bros. U	2	206
45	434385	Bobby Jones (golfer)	2	503
106	12574930	List of Waffen-SS divisions	1.5	246
122	5677268	Settlor	3	95
65	1417429	The City of New York vs. Homer Simpson	0	128
63	8406	Dative case	3	363
51	57559	Predation	0.5	651
114	11960536	2007 United Kingdom floods	0	78
52	794841	Canonical normal form	1.5	156
120	9978074	List of Doctor Who cast members	0	214
24	15778011	Rhythm of the Night (album)	1.25	66
117	15778011	Rhythm of the Night (album)	3	66
92	50451834	NA	0	2
39	379820	Motif	2.5	116
35	188641	Green politics	2	353
40	1351906	Brighton College	0	122
68	22685051	Eucharist in Lutheranism	1.5	94
120	18896198	Luke Harper	0	1153
84	50745	Paul Simon	2	3570
49	9797862	Grand Slam of Eventing	0	19
71	1966311	Malaysian Army	0	245
9	82152	Suprême NTM	2	64
107	41193	Frequency-shift keying	1	491
57	13164778	Toby Moskowitz	0.6667	13
77	73963	Mario Kart 64	1	252
