question,features,discernatron_reliable,classifier,accuracy
"If someone searched for '...', would they want to read this article?",survey-only,TRUE,xgbTree,0.6532
"If someone searched for '...', would they want to read this article?",survey & page info,TRUE,xgbTree,0.6532
"If someone searched for '...', would they want to read this article?",survey & traffic,TRUE,xgbTree,0.6487
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic",TRUE,xgbTree,0.6562
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-weekday",TRUE,xgbTree,0.6786
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform",TRUE,xgbTree,0.6487
"If someone searched for '...', would they want to read this article?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,xgbTree,0.6801
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform-and-weekday",TRUE,xgbTree,0.6697
"If someone searched for '...', would they want to read this article?","survey, page info, pagesize, and pageviews",TRUE,xgbTree,0.6786
"If someone searched for '...', would they want to read this article?","survey, page info, log10-pagesize, and log10-pageviews",TRUE,xgbTree,0.6876
"If someone searched for '...', would they want to read this article?","survey, page info, standardized pagesize, and standardized pageviews",TRUE,xgbTree,0.6906
"If someone searched for '...', would they want to read this article?","survey, page info, normalized pagesize, and normalized pageviews",TRUE,xgbTree,0.6756
"If someone searched for '...', would they want to read this article?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,xgbTree,0.6876
"If someone searched for '...', would they want to read this article?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,xgbTree,0.6861
"If you searched for '...', would this article be a good result?",survey-only,TRUE,xgbTree,0.6517
"If you searched for '...', would this article be a good result?",survey & page info,TRUE,xgbTree,0.6862
"If you searched for '...', would this article be a good result?",survey & traffic,TRUE,xgbTree,0.6517
"If you searched for '...', would this article be a good result?","survey, page info, and traffic",TRUE,xgbTree,0.6907
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-weekday",TRUE,xgbTree,0.6847
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform",TRUE,xgbTree,0.6757
"If you searched for '...', would this article be a good result?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,xgbTree,0.6877
